"Country,Other",Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",WHO Region
USA,North America,334805269,110855991,,1195323,,108597087,,1063581,2227,331106,3570,1186624369,3544223,Americas
India,Asia,1406631776,45026261,122,533454,,,,,,32010,379,935879495,665334,South-EastAsia
France,Europe,65584518,40138560,,167642,,39970918,,0,,612013,2556,271490188,4139547,Europe
Germany,Europe,83883596,38810419,,181956,,38240600,,387863,,462670,2169,122332384,1458359,Europe
Brazil,South America,215353593,38338153,,709407,,36249161,,1379585,,178024,3294,63776166,296146,Americas
S. Korea,Asia,51329899,34571873,,35934,,34535939,,0,,673523,700,15804065,307892,WesternPacific
Japan,Asia,125584838,33803572,,74694,,,,,,269169,595,100414883,799578,WesternPacific
Italy,Europe,60262770,26711592,,196070,,26334778,,180744,106,443252,3254,279959521,4645646,Europe
UK,Europe,68497907,24886826,,232112,,24641400,,13314,,363322,3389,522526476,7628357,Europe
Russia,Europe,145805947,23875738,,401945,,23294406,,179387,,163750,2757,273400000,1875095,Europe
Turkey,Asia,85561976,17232066,,102174,,,,,,201399,1194,162743369,1902052,Europe
Spain,Europe,46719142,13914811,,121760,,13762417,,30634,231,297840,2606,471036328,10082298,Europe
Australia,Australia/Oceania,26068792,11795370,1154,24128,,,,,14,452471,926,81916639,3142326,WesternPacific
Vietnam,Asia,98953541,11624114,,43206,,10640971,,939937,,117470,437,85826548,867342,WesternPacific
Taiwan,Asia,23888595,10241523,,19005,,10222518,,0,,428720,796,30742304,1286903,WesternPacific
Argentina,South America,46010234,10086703,,130716,,9949330,,6657,,219227,2841,35716069,776264,Americas
Netherlands,Europe,17211447,8633297,,22992,,8608038,,2267,,501602,1336,25984435,1509718,Europe
Mexico,North America,131562772,7702809,,334958,,6899865,,467986,,58549,2546,20013810,152124,Americas
Iran,Asia,86022837,7626022,,146777,,,,,,88651,1706,57320267,666338,EasternMediterranean
Indonesia,Asia,279134505,6826750,,162033,,6647104,,17613,,24457,580,114158919,408975,South-EastAsia
Poland,Europe,37739785,6655685,23,120499,,,,,,176357,3193,39211197,1038988,Europe
Colombia,South America,51512762,6390825,,143146,,6210192,,37487,342,124063,2779,36951507,717327,Americas
Greece,Europe,10316637,6101379,,37869,,,,,,591412,3671,102228365,9909078,Europe
Austria,Europe,9066710,6081287,,22542,,6054934,,3811,,670727,2486,211273524,23302116,Europe
Portugal,Europe,10140570,5641679,,28060,,5612446,1035,1173,61,556347,2767,46139518,4549993,Europe
Ukraine,Europe,43192122,5557995,,112418,,5445577,,0,,128681,2603,32603805,754855,Europe
Chile,South America,19250195,5345980,,64497,,5252450,,29033,7,277710,3350,50382097,2617225,Americas
Malaysia,Asia,33181072,5272517,,37347,,5225276,,9894,11,158901,1126,68580916,2066869,WesternPacific
Canada,North America,38388419,4915977,,57905,,4830440,1452,27632,99,128059,1508,66572774,1734189,Americas
Belgium,Europe,11668278,4856459,,34376,,4816478,369,5605,,416210,2946,37454182,3209915,Europe
Israel,Asia,9326000,4841772,,12707,,4798473,,30592,,519169,1363,41373364,4436346,Europe
DPRK,Asia,25990679,4772813,,74,,4772739,,0,,183636,3,,,
Thailand,Asia,70078203,4765718,,34555,,4692636,,38527,,68006,493,17273454,246488,South-EastAsia
Czechia,Europe,10736784,4757092,19,43487,,4710325,253,3280,8,443065,4050,57731761,5377007,Europe
Peru,South America,33684208,4568225,,222161,,4346064,,0,4,135619,6595,39010194,1158115,Americas
Switzerland,Europe,8773637,4450361,,14452,,4432506,,3403,,507242,1647,23833472,2716487,Europe
Philippines,Asia,112508994,4140383,,66864,,4067381,,6138,,36800,594,36102746,320888,WesternPacific
South Africa,Africa,60756135,4076463,,102595,,3912506,,61362,192,67095,1689,26795090,441027,Africa
Romania,Europe,19031335,3521283,,68822,,3448278,,4183,16,185026,3616,28559175,1500640,Europe
Denmark,Europe,5834950,3183756,,8814,,3174942,,0,,545636,1511,129333107,22165247,Europe
Singapore,Asia,5943546,2994295,,1933,,2980370,1528,11992,4,503789,325,24756666,4165302,WesternPacific
Hong Kong,Asia,7604299,2927292,,14494,,2910383,,2415,,384952,1906,76127725,10011143,WesternPacific
Sweden,Europe,10218971,2752482,,27204,,2723200,210,2078,,269350,2662,19500873,1908301,Europe
Serbia,Europe,8653016,2613316,,18057,,2593302,,1957,,302012,2087,13400167,1548612,Europe
New Zealand,Australia/Oceania,4898203,2574813,,5452,,2565293,,4068,,525665,1113,7768604,1586011,WesternPacific
Iraq,Asia,42164965,2465545,,25375,,2439497,,673,,58474,602,19544451,463523,EasternMediterranean
Hungary,Europe,9606259,2229267,,49013,,2152155,,28099,,232064,5102,11394556,1186160,Europe
Bangladesh,Asia,167885689,2047297,,29482,,,,,,12195,176,15254399,90862,South-EastAsia
Slovakia,Europe,5460193,1876830,,21218,,1855612,,0,23,343730,3886,7448789,1364199,Europe
Georgia,Asia,3968738,1855289,,17132,,,,,,467476,4317,16920079,4263340,Europe
Jordan,Asia,10300869,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,EasternMediterranean
Ireland,Europe,5020199,1732701,,9474,,1720701,,2526,19,345146,1887,13083449,2606161,Europe
Pakistan,Asia,229488994,1581936,,30664,,1538689,,12583,,6893,134,30589153,133292,EasternMediterranean
Finland,Europe,5554960,1514669,,11935,,1501819,74,915,,272670,2149,12108977,2179850,Europe
Norway,Europe,5511370,1509488,10,6618,,1502274,136,596,,273886,1201,11002430,1996315,Europe
Kazakhstan,Asia,19205043,1411831,,13848,,1383020,,14963,24,73514,721,11575012,602707,Europe
Lithuania,Europe,2661708,1394511,23,9890,1,1381342,457,3279,,523916,3716,10540357,3959997,Europe
Slovenia,Europe,2078034,1356223,7,7100,,1348898,12,225,,652647,3417,2847701,1370382,Europe
Bulgaria,Europe,6844597,1338765,19,38732,,1292291,6,7742,41,195594,5659,11593949,1693883,Europe
Croatia,Europe,4059286,1309728,,18687,,1258432,,32609,,322650,4604,5660084,1394355,Europe
Guatemala,North America,18584039,1284003,,20278,,1261824,,1901,5,69092,1091,7593848,408622,Americas
Morocco,Africa,37772756,1278666,,16301,,,,,,33852,432,13001033,344191,EasternMediterranean
Lebanon,Asia,6684849,1243838,,10952,,1087587,,145299,74,186068,1638,4795578,717380,EasternMediterranean
Costa Rica,North America,5182354,1238883,,9428,,,,,,239058,1819,4659757,899158,Americas
Bolivia,South America,11992656,1211716,,22407,,1177145,,12164,220,101038,1868,2710261,225993,Americas
Tunisia,Africa,12046656,1153361,,29423,,,,,,95741,2442,5013383,416164,EasternMediterranean
Cuba,North America,11305652,1115210,,8530,,1106613,,67,,98642,754,14398718,1273586,Americas
Ecuador,South America,18113361,1070188,,36043,,1034145,,0,,59083,1990,3082403,170173,Americas
UAE,Asia,10081785,1067030,,2349,,,,,,105837,233,200732262,19910389,EasternMediterranean
Panama,North America,4446964,1058933,,8688,,1044922,,5323,16,238125,1954,7847296,1764641,Americas
Uruguay,South America,3496016,1041111,,7664,,1030944,,2503,18,297799,2192,6114822,1749083,Americas
Mongolia,Asia,3378078,1011451,,2284,,1009167,8,0,,299416,676,4030048,1193000,WesternPacific
